"Cultura","Métrica","Valor"
"Todas as Culturas","Área total",13557600
"Todas as Culturas","Área disponível para plantio",13550982.05
"Alface","Área total da cultura",4962800
"Alface","Área de plantio da cultura",4960771.3
"Alface","Média de fileiras",1616
"Alface","Desvio padrão de fileiras",1271.72324033179
"Alface","Média de plantas",4962800
"Alface","Desvio padrão de plantas",5256740.35881553
"Tomate","Área total da cultura",8594800
"Tomate","Área de plantio da cultura",8590210.75
"Tomate","Média de fileiras",837.8
"Tomate","Desvio padrão de fileiras",1015.15673666681
"Tomate","Média de plantas",1146328
"Tomate","Desvio padrão de plantas",1488482.19167043
